system:index,Delta_BSI,Delta_MNDWI,Delta_NDBI,Delta_NDVI,Delta_NDWI,.geo
1731,0.0037578856640543834,-0.056907302310979124,0.009207029650742271,0.010811419209570405,-0.03131126163035691,"{""type"":""MultiPoint"",""coordinates"":[]}"
1780,-0.02734805367941326,-0.016457585232968364,-0.0013431186054388422,0.03473054578180301,-0.01263255403538699,"{""type"":""MultiPoint"",""coordinates"":[]}"
1781,-0.055759933986876564,-0.09393064611737972,-0.017220981475682018,0.06930308239547056,-0.06158696563867205,"{""type"":""MultiPoint"",""coordinates"":[]}"
1797,-0.2325645170158389,-0.1053522375735344,-0.18513024387543275,0.18171049353950774,-0.1834770917955505,"{""type"":""MultiPoint"",""coordinates"":[]}"
1799,-0.05047304306189199,-0.09978945550879997,-0.022156197553071688,0.06380346310036378,-0.06885263158996735,"{""type"":""MultiPoint"",""coordinates"":[]}"
1805,0.029367030741442313,-0.04649690900661879,0.032243554284557385,-5.6548177937876254E-5,-0.011042139365810555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1820,-0.030034691607603414,-0.016047947444659594,-0.02599617137825927,0.02192358755044288,-0.02495795704396031,"{""type"":""MultiPoint"",""coordinates"":[]}"
1823,-0.2692750644034784,-0.3029528114936915,-0.14439589154058619,0.3692523031357041,-0.3017256947050728,"{""type"":""MultiPoint"",""coordinates"":[]}"
1830,0.002224903156179847,-0.0011004391067906405,-2.5303759131589665E-4,-0.013033663120892824,-8.516591316511946E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
1833,-0.03319220971015274,-0.048437033690750864,-0.008773262025876083,0.033605172709550435,-0.038112736502004085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1852,-0.07054867372946216,-0.09305968345636945,-0.03308271846446925,0.09212627149733787,-0.07595675525653478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1855,-0.12497251026735234,0.10628551226913308,-0.12124991307648275,0.07012146639337558,-0.011476054683163928,"{""type"":""MultiPoint"",""coordinates"":[]}"
1856,-0.08887709423411277,-0.05555655792862518,-0.04508317218792801,0.0971799165746966,-0.060117117897118266,"{""type"":""MultiPoint"",""coordinates"":[]}"
1873,-0.0549604954581176,-0.09570030899859933,-0.03289171808769048,0.07407809263396781,-0.08245498022662967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1878,-0.009293248304429125,-0.0942947486242749,0.022300970284575505,0.042434826432220296,-0.04431385176216507,"{""type"":""MultiPoint"",""coordinates"":[]}"
1885,-0.027047337063847626,-0.010629212245553243,-0.02312498526295309,0.030355645808739173,-0.026543755520077483,"{""type"":""MultiPoint"",""coordinates"":[]}"
1909,-0.08651633258379393,-0.03805342364801734,-0.06891923351610463,0.07669927264603826,-0.06604818679929048,"{""type"":""MultiPoint"",""coordinates"":[]}"
1916,0.14823662634480114,-0.09542587378311795,0.14649127980393314,-0.07732147018829327,0.018660214079569304,"{""type"":""MultiPoint"",""coordinates"":[]}"
1964,-0.007100010820605629,-0.06736161323944378,0.016457006979481936,0.03338363009422196,-0.030348657483836083,"{""type"":""MultiPoint"",""coordinates"":[]}"
1997,-0.05009651403633081,-0.09625903314687523,-0.02160450116238294,0.0709549469295836,-0.06974169383203332,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005,-0.035264144977619205,-0.054531345749347926,-0.02182536174459132,0.06303663732376463,-0.04969573445437836,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006,0.11409863269342768,0.18952074900283808,0.01950247599297833,-0.1850508686755581,0.13717555011417215,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017,0.014004727192380717,-0.02754248774179019,0.009661087214579311,-0.025886111489441865,-0.012962274716897704,"{""type"":""MultiPoint"",""coordinates"":[]}"
2050,-0.012594498243707036,-0.03305064281666814,-0.016980962639816466,-0.0024028569743789197,-0.03310020500875288,"{""type"":""MultiPoint"",""coordinates"":[]}"
2058,0.059402556112158805,-0.09402003903139611,0.08975008771648807,0.010585516199554168,-0.006770019917431758,"{""type"":""MultiPoint"",""coordinates"":[]}"
2074,-0.10131184653285075,-0.01636466569320455,-0.07509345319033983,0.08522679751075479,-0.05554056717971778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2084,-0.0326236676997142,-0.07352635692522774,6.144092156474268E-4,0.06118776011564797,-0.04348610325464075,"{""type"":""MultiPoint"",""coordinates"":[]}"
2094,0.17885259746944013,-0.07214106935829023,0.16337434928674788,-0.15409314095806526,0.05488996781086464,"{""type"":""MultiPoint"",""coordinates"":[]}"
2116,0.0788408255326189,-0.06905532897326444,0.08209822606108086,-0.03135916627092694,0.0022834489067529162,"{""type"":""MultiPoint"",""coordinates"":[]}"
